date,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zyra
23,108.6,132.03,112.73,32.42,24.85,137.55,105.94,132.02,125.49,135.27,17.11,30.37,63.33,33.24,141.58,114.26,140.47,86.89,143.25,139.83,92.42,101.05,142.55,123.04,20.44,22.33,130.74,44.39,137.74,110.43,111.53,148.13,130.69,136.89,46.99,59.96,26.52,135.38,145.46,142.09,11.43,8.54,64.84,87.24,141.65,140.57,140.25,148.17,41.27,132.17,130.75,123.52,116.75,40.02,127.03,23.37,28.62,124.39,139.62,114.72,23.12,34.29,139.8,147.59,17.1,95.23,97.29,134.94,65.7,41.84,132.36,130.0,37.42,8.86,142.47,50.19,30.37,32.48,34.04,79.52,141.99,87.82,96.07,83.86,109.29,10.82,28.53,22.77,150.87,45.14,130.81,122.3,128.95,25.33,34.83,97.31,36.69,140.54,102.14,154.9,28.13,12.62,11.58,133.14,141.69,48.91,128.73,123.59,35.14,117.14,24.77,144.42,95.29,131.38,126.98,111.97,35.19,125.17,140.5,137.26,113.62,105.58,25.09,146.22,145.18,47.5,28.37,83.28,144.4,125.24,39.54,140.72,140.12,24.99,132.12,133.75,55.89,35.71
24,113.15,137.11,116.91,33.78,27.05,142.82,109.56,137.44,131.05,140.61,18.35,31.74,66.11,34.75,147.55,118.86,145.43,90.68,148.92,145.09,96.13,105.0,148.05,127.97,22.31,24.33,135.95,46.71,143.91,114.99,115.63,155.22,136.07,141.88,49.57,63.8,29.03,140.16,151.26,147.74,12.41,9.03,68.4,91.65,146.95,146.04,146.75,154.1,43.04,137.27,135.71,128.41,121.34,42.87,131.72,25.44,31.42,129.28,145.34,118.31,24.85,35.79,145.07,153.56,17.99,99.07,101.26,140.58,68.56,45.45,137.83,134.44,39.38,9.33,148.87,52.69,32.22,35.62,36.34,83.21,147.16,91.68,100.08,87.57,114.13,11.53,30.88,24.6,156.75,47.45,136.31,127.11,134.41,27.27,37.45,101.39,39.89,146.52,106.32,162.37,30.42,13.27,12.29,138.07,146.87,50.66,133.44,128.68,36.86,122.1,25.71,150.9,99.65,138.09,131.88,117.14,38.32,130.19,146.36,143.5,118.18,109.42,27.39,152.2,151.1,49.98,30.82,87.32,150.61,130.18,42.34,146.98,146.5,27.1,137.13,139.05,58.82,37.97
25,118.0,142.12,121.15,35.17,29.27,148.31,113.51,142.94,135.89,146.32,19.55,33.19,68.73,36.23,153.53,123.61,150.49,94.33,154.16,150.15,99.82,108.81,153.67,132.8,24.3,26.67,141.16,49.35,149.51,118.92,119.86,162.04,141.53,146.31,52.21,68.2,31.44,145.03,157.49,152.77,13.35,9.52,71.49,95.95,152.02,151.2,153.07,159.84,44.57,141.51,140.31,132.91,126.67,45.79,136.71,27.55,34.32,133.83,151.19,121.89,26.66,37.3,150.84,159.5,18.96,102.82,105.2,146.16,71.34,48.68,143.01,139.65,41.18,9.94,155.1,55.03,34.49,38.75,38.88,87.33,152.39,95.24,103.74,90.91,119.52,12.17,33.16,26.34,162.74,50.01,141.77,131.98,139.73,29.26,40.31,105.44,43.46,152.69,110.62,169.53,32.72,14.04,12.91,143.37,152.2,52.63,138.06,133.43,38.58,126.79,26.69,157.3,103.8,144.49,136.78,122.04,41.73,134.95,152.36,149.62,122.88,113.25,29.84,157.61,156.91,52.52,33.23,91.63,156.85,134.94,45.27,153.12,152.89,29.07,141.96,144.53,61.85,39.94
26,122.34,147.13,125.28,36.63,31.65,153.55,117.07,148.1,140.7,151.8,20.93,34.69,71.52,37.54,159.31,128.57,155.12,97.99,159.87,154.86,103.78,112.69,159.13,137.26,26.02,29.1,146.07,51.9,155.42,123.0,123.77,168.71,146.95,150.84,54.55,72.47,34.18,149.81,162.94,157.93,14.46,10.08,74.57,100.31,157.43,156.46,159.41,165.78,46.32,145.92,144.69,137.29,132.13,48.49,142.14,29.73,37.51,138.46,157.03,125.7,28.46,38.83,155.5,165.1,19.88,106.66,108.87,151.64,73.64,52.03,148.27,144.51,42.82,10.47,160.88,57.45,36.44,41.46,41.3,90.49,157.51,98.48,107.85,94.24,124.21,12.86,35.29,28.11,168.33,52.47,147.06,136.61,144.7,31.42,42.9,108.92,46.73,158.73,115.45,176.99,35.14,14.82,13.7,148.33,157.27,54.44,142.41,138.32,40.16,131.63,27.67,163.78,107.54,150.75,141.84,126.9,44.86,139.91,157.95,155.71,127.46,116.91,31.94,162.77,162.52,56.13,35.62,95.25,162.86,139.8,48.11,159.44,158.47,30.96,146.89,149.52,63.95,42.01
27,126.19,152.07,129.25,38.06,33.9,158.63,120.96,153.48,145.67,157.16,22.33,36.14,73.98,38.94,165.06,132.73,159.83,101.2,165.52,159.66,107.73,117.2,164.3,141.69,28.03,31.23,150.55,53.97,161.3,126.69,127.43,174.99,151.53,155.36,57.04,77.33,36.99,154.28,168.23,163.73,15.71,10.65,78.2,104.51,162.36,161.86,165.69,171.7,48.34,149.88,149.49,141.49,136.69,51.44,147.0,31.82,40.55,143.13,162.45,129.48,30.35,40.34,160.48,171.01,20.92,110.66,112.58,156.57,76.59,55.74,153.37,149.47,44.69,11.09,166.89,59.77,38.49,44.19,43.47,94.12,162.23,102.01,111.37,97.38,128.64,13.6,37.65,30.61,174.05,55.82,152.48,141.47,149.84,33.53,46.02,112.42,49.69,163.74,119.38,184.11,37.11,15.65,14.55,152.86,162.15,56.12,147.02,143.0,41.55,135.94,28.64,170.07,111.64,156.63,146.37,131.82,48.62,144.91,163.92,161.81,132.18,120.43,34.36,168.33,168.11,58.91,38.0,99.07,169.32,144.87,50.37,165.93,164.67,33.02,151.74,154.83,67.08,44.24
28,130.81,156.84,133.52,39.46,35.87,163.58,124.76,158.77,150.93,162.2,23.83,37.68,76.88,40.42,170.94,136.83,164.23,104.75,170.95,164.3,111.04,122.15,169.2,146.14,30.1,33.95,155.07,55.91,167.4,131.03,131.21,181.65,156.15,159.84,59.42,81.55,39.66,158.64,173.74,168.67,16.42,11.22,81.3,108.84,167.7,167.1,172.0,177.37,50.51,154.29,153.25,145.94,141.31,54.48,151.73,34.13,44.42,147.85,168.11,132.87,32.33,41.87,164.92,176.6,21.7,114.41,116.29,161.51,79.71,58.98,158.7,153.6,46.61,11.73,172.69,62.12,40.65,47.23,45.58,97.09,167.11,105.93,115.27,100.52,133.2,14.32,39.9,32.67,179.92,58.16,157.49,145.64,154.38,35.6,49.07,116.25,53.19,169.15,123.83,191.41,39.72,16.36,15.37,157.37,167.27,57.86,151.85,147.54,42.73,140.42,29.52,176.43,114.37,162.69,150.95,137.19,51.96,149.61,169.8,167.78,136.61,124.62,36.96,173.71,173.12,62.19,40.53,102.63,175.24,149.22,53.13,172.14,170.44,34.93,156.41,159.84,70.6,46.44
29,135.99,161.59,137.64,41.06,38.25,168.72,128.45,164.2,155.54,166.87,25.31,39.26,79.51,41.95,176.61,141.46,168.16,108.8,175.51,168.44,114.46,127.19,173.98,150.5,32.39,36.28,159.83,58.99,172.4,134.58,135.19,188.33,161.32,164.42,61.74,85.48,42.42,162.9,178.99,174.44,17.69,11.76,84.12,112.88,172.3,172.1,178.08,183.33,51.91,158.64,157.71,150.76,145.63,57.53,156.27,36.53,47.14,151.93,173.62,136.25,34.24,43.28,170.06,182.39,22.6,117.96,119.92,166.87,82.44,62.84,164.02,158.01,48.51,12.36,178.38,64.26,42.92,50.32,47.86,101.14,171.82,109.72,118.74,103.11,137.9,15.03,42.13,34.54,185.7,61.09,162.62,150.35,159.82,37.84,52.44,119.83,56.1,175.1,128.26,198.61,41.22,17.23,16.18,162.44,172.15,59.87,156.76,152.24,44.3,144.83,30.47,182.81,117.36,169.18,155.94,141.97,54.74,154.11,175.26,173.94,141.34,128.48,39.51,178.9,178.04,65.48,42.93,106.16,181.36,153.96,56.65,178.42,175.8,36.85,161.07,164.97,72.37,48.73
30,140.96,166.31,141.47,42.55,40.53,173.95,132.19,169.21,160.27,172.43,26.74,40.7,82.12,43.29,182.7,145.68,172.82,112.57,180.39,173.01,116.92,131.9,179.39,155.02,34.2,38.32,164.36,61.72,178.41,138.02,138.82,194.69,166.15,168.59,63.96,88.56,45.43,167.57,183.27,179.26,18.71,12.33,87.84,116.89,177.37,177.19,184.07,189.17,52.88,163.19,161.94,155.36,150.61,60.82,160.52,39.07,50.43,156.13,178.65,139.88,36.27,44.6,174.52,187.93,23.53,121.79,123.82,172.1,84.86,66.6,169.0,163.0,50.33,12.98,183.72,66.04,45.93,54.02,50.16,103.41,176.82,113.36,121.94,106.4,142.96,15.83,44.43,36.84,191.15,64.14,167.78,154.15,166.25,39.95,54.92,123.05,59.87,179.3,131.46,205.96,43.92,18.13,17.06,167.15,176.48,61.26,161.09,156.84,45.67,149.67,31.41,189.12,121.89,175.23,160.41,147.12,57.84,157.82,180.81,179.74,145.56,133.23,42.18,184.21,182.91,68.9,45.37,109.69,187.13,159.06,58.96,184.12,181.53,38.65,165.65,169.95,75.02,50.89
31,143.99,171.0,145.55,43.98,42.72,179.29,135.21,174.36,164.65,177.57,28.32,42.26,84.78,44.81,188.47,151.02,177.55,115.81,186.21,177.52,121.05,135.7,184.39,159.59,36.25,40.54,169.11,64.26,183.88,141.35,142.1,200.99,170.81,172.7,66.58,92.69,48.19,172.32,188.75,183.66,19.78,13.03,90.92,119.85,181.78,182.44,190.1,194.52,54.53,167.51,165.78,159.57,155.21,63.91,165.12,41.52,53.29,160.22,183.96,142.69,38.44,46.16,178.62,193.49,24.35,125.23,126.49,176.39,88.09,70.37,174.15,167.14,52.36,13.65,189.36,68.21,47.94,57.66,52.3,105.72,181.5,117.2,126.57,109.92,147.82,16.48,46.79,38.87,196.36,67.67,172.72,157.39,170.01,42.23,58.43,126.57,63.12,185.09,134.73,212.55,45.75,19.1,18.01,171.6,181.83,62.92,165.07,161.21,47.4,153.76,32.5,195.31,126.48,181.01,164.34,151.7,61.4,162.17,186.39,185.71,149.41,137.18,44.59,190.11,187.54,72.02,48.02,113.5,192.92,164.24,61.52,190.17,187.24,40.26,170.49,174.76,77.79,52.89
32,148.24,175.63,148.88,45.48,44.88,184.08,138.59,179.37,168.88,183.12,30.02,43.66,88.03,46.08,194.32,156.27,181.6,118.98,191.29,181.78,124.98,138.79,189.59,163.63,38.24,42.91,173.59,67.74,189.6,145.14,145.54,206.7,175.97,176.89,69.02,96.1,50.68,176.58,192.74,188.14,20.27,13.75,94.11,125.03,185.82,187.33,195.99,199.95,55.93,171.99,169.61,163.42,160.11,67.04,169.04,44.15,56.12,164.85,189.25,145.62,40.59,47.5,183.99,198.88,25.68,128.63,129.36,181.32,90.32,73.65,179.15,171.69,54.83,14.45,194.09,70.47,50.54,60.79,55.21,108.79,185.68,120.28,129.93,111.55,152.7,17.15,49.61,40.83,201.21,69.89,177.7,161.47,173.6,44.05,61.35,130.59,67.04,189.62,138.4,218.92,48.08,20.05,19.01,176.33,186.78,64.11,169.13,165.14,48.88,157.99,33.59,201.61,129.27,186.59,169.11,156.84,63.31,166.57,191.93,191.32,153.38,140.74,47.34,195.73,192.73,74.91,50.61,117.37,198.96,168.36,64.98,195.87,194.49,42.36,175.02,179.49,80.1,54.75
33,152.14,179.28,153.0,46.91,47.26,189.53,142.13,184.75,174.26,186.56,31.81,45.23,90.58,47.35,199.9,159.98,185.77,122.37,197.08,186.08,128.62,144.28,194.42,167.72,40.46,45.54,177.73,70.55,194.51,148.81,149.71,213.32,180.39,180.72,71.47,100.04,52.74,180.47,197.1,192.86,20.97,14.45,97.22,129.03,190.05,192.11,202.04,205.24,57.03,176.62,173.24,168.22,165.28,70.05,172.67,46.76,57.69,168.68,195.08,148.65,42.78,49.05,187.85,204.32,26.53,132.55,132.2,186.24,92.99,77.46,184.29,177.15,56.65,15.07,199.33,72.2,53.02,64.4,57.32,111.97,190.16,123.59,133.12,114.06,157.11,18.03,52.45,42.5,206.49,72.78,182.51,166.38,178.39,46.78,63.79,133.48,70.85,194.55,140.55,225.87,49.49,21.04,19.86,180.79,191.8,66.47,174.6,170.13,50.8,162.12,34.43,207.84,131.29,191.46,172.63,161.2,65.57,171.5,197.23,197.84,157.66,144.41,49.26,200.44,197.99,77.9,53.15,120.44,204.86,172.39,67.69,201.76,201.34,44.5,179.64,184.02,82.35,56.97
34,155.83,183.6,156.74,48.09,49.74,194.77,145.31,189.68,180.13,191.65,33.06,46.78,94.32,48.68,205.46,162.98,190.71,126.28,202.57,190.26,133.02,148.09,199.16,171.54,42.7,48.0,182.3,73.0,199.09,152.04,154.69,220.09,185.05,184.5,73.86,104.68,55.77,185.21,201.52,198.45,21.67,15.16,99.98,132.61,194.94,197.1,208.29,209.96,58.91,181.45,177.52,172.64,169.44,73.28,176.18,48.89,61.56,172.22,200.77,151.86,44.83,50.56,193.37,209.93,26.81,136.21,133.88,191.72,95.67,81.04,189.73,181.62,57.96,15.89,204.28,74.27,54.8,67.65,59.9,116.01,194.7,127.11,136.89,117.31,162.02,18.67,54.73,44.68,211.4,76.42,186.7,171.06,182.78,49.62,66.54,137.08,73.71,198.34,144.69,233.86,51.1,21.71,20.64,185.41,197.22,67.76,178.29,174.21,52.5,166.83,35.51,213.87,134.92,195.94,177.02,166.7,68.61,175.59,203.02,204.1,161.67,147.51,51.76,204.0,203.52,79.74,55.03,124.83,211.01,175.9,71.07,207.75,207.3,46.64,184.47,188.85,85.0,59.77
35,160.95,187.68,161.04,49.64,51.74,198.28,148.0,195.33,184.62,196.39,35.02,48.25,97.32,49.74,211.0,167.67,194.19,129.19,207.33,194.94,135.42,151.4,204.44,175.55,44.78,50.26,186.14,74.79,204.44,156.47,157.82,227.05,189.14,187.75,76.05,108.06,58.66,189.08,205.94,203.55,22.31,15.86,100.67,136.42,197.7,202.52,214.38,214.72,59.47,186.32,181.86,175.97,174.07,76.11,180.19,51.42,64.4,176.97,205.58,155.47,46.82,52.17,199.04,215.37,27.5,140.05,135.47,196.6,99.02,85.07,194.22,183.9,59.74,16.59,209.11,76.22,57.15,71.56,62.5,118.45,198.54,131.67,140.68,119.74,168.3,19.34,58.1,46.73,216.69,78.99,191.31,174.58,185.73,51.91,70.56,141.68,77.37,203.05,148.5,241.2,54.41,22.62,21.66,188.83,202.64,68.9,183.1,178.97,53.81,170.85,36.35,219.99,137.89,201.32,182.2,171.96,71.31,180.79,208.92,209.83,165.84,150.4,54.58,209.28,207.98,84.11,57.44,127.91,217.19,180.18,74.88,213.18,213.75,48.83,189.04,194.19,85.0,61.77
36,167.94,192.68,165.11,50.63,54.13,202.53,150.65,200.29,188.76,201.59,36.85,49.91,100.35,50.98,217.42,170.75,198.34,134.39,212.51,199.55,139.43,155.54,209.44,179.56,46.66,53.24,191.32,78.65,208.81,160.41,162.02,233.16,193.31,191.28,77.93,110.81,61.31,193.91,208.85,207.1,23.01,16.58,104.14,140.08,202.34,207.3,220.31,219.33,62.04,190.73,187.13,180.19,177.72,79.07,183.82,54.16,67.43,181.86,210.32,158.54,48.67,53.66,205.47,220.73,29.07,143.3,138.6,202.16,102.74,87.87,199.02,186.56,62.15,17.56,213.16,78.82,58.74,74.93,65.86,120.94,203.23,134.88,144.48,121.67,174.78,19.92,60.92,48.4,220.58,81.94,195.6,177.42,192.5,54.25,74.43,143.27,80.7,208.32,151.76,248.95,58.08,23.72,22.8,192.58,207.92,70.48,187.26,183.05,56.14,174.7,37.61,225.82,142.62,205.86,187.2,176.51,73.78,186.37,212.93,215.73,170.33,153.96,57.23,213.94,213.25,87.59,60.32,130.73,223.0,184.19,78.94,218.75,219.66,50.25,194.0,199.03,88.09,63.71
37,170.42,196.65,168.37,52.41,57.04,206.71,153.28,204.42,193.77,206.76,38.09,51.57,103.28,51.95,223.09,174.34,201.08,137.16,217.09,204.03,142.84,160.52,213.92,184.46,49.05,55.18,196.6,82.19,213.74,164.95,164.74,238.83,198.62,194.9,79.51,113.69,63.75,199.9,215.15,210.93,23.82,17.28,109.04,143.26,208.16,212.53,226.92,226.01,63.18,195.41,190.76,183.91,181.87,81.26,188.89,57.05,71.24,185.83,215.13,161.14,50.8,55.21,209.15,226.08,29.7,146.49,141.71,206.91,105.55,91.2,203.5,187.94,64.19,18.51,218.62,80.77,59.63,78.1,68.61,124.67,208.34,139.64,147.5,124.25,182.46,20.62,62.97,51.37,225.87,85.51,199.56,181.93,196.15,57.54,78.09,146.76,85.47,212.45,157.91,256.21,60.44,24.63,23.29,197.35,212.73,72.46,189.34,187.71,57.73,178.22,38.43,232.0,147.56,214.13,191.82,181.54,76.56,190.97,218.03,221.22,174.65,159.31,59.63,219.8,218.22,89.41,63.02,133.81,229.51,189.84,82.26,225.01,227.01,52.51,197.96,204.18,91.77,65.59
38,176.3,201.4,171.63,53.63,60.02,214.03,156.69,210.14,199.07,211.61,40.48,53.52,106.21,53.28,228.61,175.69,206.24,139.07,222.42,208.36,146.43,164.62,217.82,188.54,51.62,57.86,200.54,85.72,218.82,168.61,169.59,245.95,202.81,198.14,83.06,118.14,66.49,204.14,220.33,216.21,25.0,18.22,112.7,146.94,214.08,217.65,232.94,232.84,65.71,200.88,194.89,188.02,180.33,85.22,192.12,60.0,74.98,190.72,219.88,164.43,52.87,56.55,217.05,232.65,30.28,149.85,145.26,211.89,108.19,95.2,208.44,191.49,66.76,19.48,222.38,82.78,62.69,82.93,73.14,126.42,212.67,142.19,151.26,125.57,185.71,21.67,66.48,53.27,229.92,87.72,204.46,184.68,200.84,59.55,80.42,150.1,88.86,217.19,161.07,262.15,60.59,25.57,24.28,202.29,217.68,72.34,192.38,191.03,58.93,181.48,39.51,237.37,150.58,220.93,194.9,185.69,80.78,195.7,223.63,226.54,178.39,162.58,62.57,224.93,222.49,89.69,65.44,137.99,235.5,196.1,86.55,230.55,232.21,54.53,201.74,207.21,95.31,67.44
39,182.72,205.61,170.91,55.2,62.99,218.6,160.31,216.59,205.24,217.98,42.85,55.08,108.55,54.16,235.01,175.46,210.55,143.13,228.14,213.28,149.38,167.8,222.04,193.21,53.54,61.13,204.69,88.21,223.88,171.29,173.27,253.69,207.01,202.86,85.28,122.16,69.45,207.97,227.3,219.4,26.14,18.9,118.63,151.09,219.74,222.51,238.77,239.89,68.63,209.52,198.65,191.13,188.68,87.9,196.31,62.66,82.56,193.85,227.59,167.45,55.29,58.1,224.85,237.57,30.85,154.22,147.93,217.0,109.84,98.61,213.97,193.57,69.6,20.33,228.1,82.91,64.93,88.17,75.2,126.89,217.11,144.53,154.28,127.6,192.78,22.18,68.26,54.27,235.21,92.02,207.73,188.4,205.71,61.44,83.24,151.37,92.46,222.14,167.71,269.41,61.03,26.82,24.95,206.62,223.3,73.71,197.32,195.41,60.78,185.91,40.91,243.16,155.2,227.43,199.48,189.68,85.88,199.5,227.34,233.54,183.72,166.84,65.37,229.68,227.74,92.47,67.32,142.93,241.38,200.6,89.92,235.67,240.11,57.1,206.08,212.73,98.96,70.53
40,185.66,210.0,175.15,56.91,65.59,224.23,161.65,221.46,211.7,224.84,45.53,56.86,111.14,55.71,240.26,176.68,214.75,147.15,233.2,217.72,152.33,173.47,226.98,198.16,56.89,64.22,209.64,90.06,230.04,173.5,177.84,259.45,211.94,207.68,88.91,125.42,71.9,212.81,229.63,222.0,27.25,19.66,122.56,154.25,223.26,227.51,244.37,245.38,71.47,209.77,202.26,194.98,186.76,92.04,201.72,65.06,87.85,201.72,231.09,169.42,57.38,59.92,230.12,244.05,32.07,157.23,149.12,222.97,111.46,103.63,219.7,192.31,73.75,21.17,233.63,84.05,68.58,91.17,78.47,129.4,223.07,146.55,157.33,131.45,197.67,23.28,71.78,57.47,237.51,93.55,212.66,191.19,211.75,63.98,87.69,156.3,95.98,224.84,169.9,277.13,64.04,28.53,25.58,211.67,227.51,76.4,201.78,199.28,59.81,189.54,41.73,249.49,157.89,235.63,203.8,195.13,91.29,203.46,234.1,238.83,185.83,168.32,67.33,236.29,232.14,93.25,70.08,147.09,248.23,205.97,92.6,241.95,248.89,58.94,210.1,216.47,103.5,72.41
41,193.75,214.84,177.03,58.19,68.05,226.3,164.67,226.1,217.02,230.55,47.46,58.75,114.78,56.95,244.29,175.14,218.78,151.3,239.2,219.67,154.63,176.09,231.31,203.7,58.42,64.85,212.83,94.06,233.48,176.74,182.18,265.96,214.83,210.78,91.99,126.56,75.95,218.58,232.73,226.28,27.74,20.35,123.2,155.22,228.74,231.56,250.74,249.87,74.58,217.61,205.15,199.3,188.88,96.05,206.01,67.57,90.91,208.59,236.64,170.68,59.53,60.9,230.78,249.16,33.87,160.37,150.29,228.98,113.48,108.24,225.77,194.89,75.16,22.51,236.77,87.15,72.2,93.16,78.88,138.25,227.18,148.5,160.83,135.24,203.12,24.01,74.55,59.41,243.07,97.24,218.48,195.57,215.4,65.46,91.62,159.13,100.58,229.27,170.78,283.48,66.27,29.42,27.21,216.48,234.02,76.5,207.96,204.16,61.21,194.09,42.88,255.56,162.04,240.02,208.03,199.19,96.41,207.79,239.47,244.2,190.01,173.28,70.2,240.03,237.41,93.22,73.6,149.16,254.87,209.99,96.73,246.85,252.9,61.4,213.8,220.77,104.72,76.09
42,193.87,219.71,180.46,59.69,71.54,228.41,167.33,230.53,223.33,236.49,49.1,61.67,119.27,58.37,252.03,178.85,224.84,154.07,245.23,222.8,156.28,180.73,237.26,206.14,61.12,65.84,218.71,98.49,237.49,179.53,184.62,271.92,220.09,212.73,95.77,131.91,78.03,222.84,236.53,229.31,28.85,21.17,123.08,153.52,232.02,236.03,256.66,256.58,82.29,220.02,210.88,202.07,193.31,98.83,208.26,70.57,95.54,215.22,240.95,172.89,62.87,62.12,236.26,254.48,34.67,163.25,153.97,234.64,118.55,112.82,231.93,204.89,74.34,22.8,242.44,86.51,77.5,98.61,76.54,135.15,231.07,151.09,163.95,137.83,204.42,24.6,78.18,59.41,247.41,100.45,224.63,202.36,221.53,67.58,96.69,162.14,106.12,240.93,174.75,290.4,69.87,29.78,27.77,219.35,239.91,74.74,210.46,208.15,60.7,199.52,44.18,262.4,168.16,242.48,211.94,206.81,99.79,210.49,245.02,250.19,196.11,174.13,73.6,245.19,239.63,97.18,77.85,155.33,260.83,216.88,97.7,251.85,255.22,64.59,218.97,225.63,106.64,79.69
43,193.09,226.93,181.43,61.13,74.65,235.01,167.89,236.45,231.32,244.56,51.4,63.64,119.89,60.15,256.95,179.65,227.28,160.07,252.71,225.83,163.15,183.47,242.12,210.69,63.05,68.46,223.7,102.29,240.44,181.71,184.71,279.27,227.04,216.35,98.81,132.66,79.86,229.0,241.78,235.07,28.11,21.95,126.9,154.03,234.57,241.02,263.42,262.73,85.56,218.91,213.4,207.55,193.9,102.37,212.3,73.22,102.27,220.25,242.9,174.87,65.43,63.05,242.67,258.58,33.65,166.75,152.93,241.84,121.58,116.5,238.31,208.29,75.74,24.0,247.46,88.42,79.83,100.84,77.69,139.51,235.92,156.06,170.53,143.49,212.46,25.21,80.23,55.59,252.5,102.55,227.85,209.61,227.06,70.35,100.69,158.84,111.4,246.33,179.19,298.25,72.07,31.47,29.63,223.01,243.09,78.39,211.23,213.2,62.53,206.52,44.86,267.47,171.31,246.38,215.35,209.68,99.94,216.38,252.55,256.18,199.04,176.81,77.68,250.34,244.11,100.73,80.5,159.22,266.46,222.13,99.87,258.9,258.96,65.96,222.64,230.44,109.13,81.63
44,200.47,231.2,182.59,64.05,77.67,241.38,170.06,241.11,239.44,257.23,53.81,64.32,122.4,60.49,262.13,185.45,233.53,162.36,255.39,228.77,163.95,189.52,247.03,213.63,64.88,71.78,226.6,105.52,240.18,182.61,193.64,284.44,232.55,218.62,102.88,138.1,83.05,233.81,247.57,237.77,28.08,22.88,132.76,157.14,241.61,247.74,269.84,266.27,91.47,223.66,214.07,209.08,194.52,106.77,219.1,75.36,102.47,227.56,247.86,180.83,68.39,64.8,246.47,262.3,33.75,172.27,154.01,246.35,128.27,122.58,241.05,211.24,77.52,26.07,250.86,91.2,79.08,103.1,80.22,141.64,240.7,157.77,171.95,143.97,221.04,26.05,83.72,57.36,258.28,104.72,233.54,214.77,231.85,74.89,103.28,164.27,111.84,250.06,177.01,302.78,76.51,33.06,31.0,223.33,246.18,79.78,218.21,219.65,62.99,211.21,46.2,274.15,182.34,247.56,220.39,213.14,103.96,221.19,257.44,262.05,201.62,179.7,77.92,254.19,246.36,96.86,83.68,160.03,272.47,224.66,102.02,265.89,269.92,69.28,227.85,235.51,107.87,84.58
45,204.03,235.99,183.82,66.5,79.31,245.66,177.39,248.15,251.33,267.97,55.29,66.65,127.83,61.17,267.27,188.58,239.36,167.5,260.38,228.64,165.79,197.91,251.16,220.97,68.21,73.79,234.54,109.15,244.86,182.58,196.3,291.03,236.89,221.66,104.69,136.6,85.72,238.78,252.31,242.28,29.3,23.52,137.16,165.32,246.13,251.74,275.38,270.7,91.04,229.26,217.99,213.98,202.18,110.5,219.42,79.27,104.81,230.4,254.3,182.42,70.57,65.65,252.93,268.54,34.58,180.08,157.13,249.01,133.54,126.19,246.58,218.23,78.72,27.01,256.85,92.18,81.74,103.8,78.46,139.72,246.66,164.66,176.7,148.5,226.52,27.04,86.81,59.5,261.3,106.38,239.81,219.73,236.54,78.3,104.99,167.84,116.66,252.27,177.44,307.62,82.92,33.92,31.0,226.4,253.09,84.41,222.89,225.37,66.21,216.14,47.94,278.96,188.01,252.55,226.45,216.83,117.76,228.23,266.23,268.43,204.85,181.95,82.17,258.03,253.16,101.73,85.33,161.74,277.42,232.3,102.07,271.05,284.54,72.23,231.42,239.6,108.33,86.49
