Level0;Level1;Level2;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Grandi Opere;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Edilizia Residenziale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Immobiliaristica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Fattorie;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Prezzo Terreni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Ristrutturazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Costruzioni, Proprietà  ; Progettazione, Ingegneria;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Kerosene;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Energie alternative;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Carbone;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Petrolio e Gas, distribuzione;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Petrolio e Gas, riserve;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Energia nucleare;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Elettricità ;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Trattamento Rifiuti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Risorse Idriche;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Risorse naturali (generico);;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Energia (generico);;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Gas naturali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Benzina;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Gasolio;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Energia ; Kerosene;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi Investimento;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Contabilità , Revisione;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Banche;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Consulenze;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Agenzie per l'impiego;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi Sanitari;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Assicurazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi legali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Indagini Mercato;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Negoziazioni Titoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Investimenti personali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Tendenze Mercato;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Spedizioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi per la persona;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi Ambientali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi funebri;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Noleggi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi matrimoniali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Finanze personali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Redditi personali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Aste;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi di stampa, promozionali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Servizi finanziari ; Servizi Investimento;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Giocattoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Abbigliamento;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Grandi magazzini;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Alimenti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Vendita per corrispondenza;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Dettaglio;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Negozi specializzati;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Ingrosso;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Bevande;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Commercio elettronico;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Beni di lusso;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Beni non durevoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Beni Consumo ; Giocattoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Bilancia commerciale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Banche centrali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Consumatori;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercato emissioni obbligazionarie e titoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Indici economici;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercati emergenti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercato Cambi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Aiuto pubblico;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Debito pubblico;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Tassi interesse;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Istituzioni economiche internazionali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Commercio Estero;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercato monetario;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Organizzazioni economiche;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Fiducia Consumatori;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Dispute commerciali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Inflazione, Deflazione;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Prezzi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Valute;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Bilancio;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Credito, Debito;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Prestiti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Ipoteca;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercati finanziari;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Mercati Materie prime;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Investimenti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Azioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Obbligazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Fondi mutuabili;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Titoli derivati;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Importazioni;;;;;;;;;;;;;;;;
