Level0	Level1	Level2
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Elettrodomestici
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Ingegneria pesante
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Componenti industriali
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Strumentazioni
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Cantieri navali
Economia, affari e finanza 	 Metallurgia e Meccanica 	 Macchinari
Economia, affari e finanza 	 Metalli, Minerali 	 Miniere
Economia, affari e finanza 	 Metalli, Minerali 	 Materiali edili
Economia, affari e finanza 	 Metalli, Minerali 	 Oro, Materiali preziosi
Economia, affari e finanza 	 Metalli, Minerali 	 Siderurgia
Economia, affari e finanza 	 Metalli, Minerali 	 Metalli non ferrosi
Economia, affari e finanza 	 Metalli, Minerali 	 Miniere
Economia, affari e finanza 	 Industria Trasformazione 	 Tabacchi
Economia, affari e finanza 	 Industria Trasformazione 	 Distillerie, Birrerie
Economia, affari e finanza 	 Industria Trasformazione 	 Alimentare
Economia, affari e finanza 	 Industria Trasformazione 	 Arredamento, Mobili
Economia, affari e finanza 	 Industria Trasformazione 	 Carta, Imballaggi
Economia, affari e finanza 	 Industria Trasformazione 	 Gomma
Economia, affari e finanza 	 Industria Trasformazione 	 Analcolici
Economia, affari e finanza 	 Industria Trasformazione 	 Tessile, Abbigliamento
Economia, affari e finanza 	 Industria Trasformazione 	 Tabacchi
Economia, affari e finanza 	 Turismo, Tempo libero 	 Tour Operator
Economia, affari e finanza 	 Turismo, Tempo libero 	 Casina'², Giochi
Economia, affari e finanza 	 Turismo, Tempo libero 	 Alberghiero
Economia, affari e finanza 	 Turismo, Tempo libero 	 Articoli sportivi, Tempo libero
Economia, affari e finanza 	 Turismo, Tempo libero 	 Ristorazione, Catering
Economia, affari e finanza 	 Turismo, Tempo libero 	 Tour Operator
Economia, affari e finanza 	 Trasporti 	 Marittimi, Acque interne
Economia, affari e finanza 	 Trasporti 	 Aerei
Economia, affari e finanza 	 Trasporti 	 Ferrovie
Economia, affari e finanza 	 Trasporti 	 Stradali
Economia, affari e finanza 	 Trasporti 	 Marittimi, Acque interne
Economia, affari e finanza 	 Informazione d'impresa 	 Nuovi Servizi
Economia, affari e finanza 	 Informazione d'impresa 	 Rendicontazione, Verifica
Economia, affari e finanza 	 Informazione d'impresa 	 Assemblee generali
Economia, affari e finanza 	 Informazione d'impresa 	 Relazioni annuali
Economia, affari e finanza 	 Informazione d'impresa 	 Antitrust
Economia, affari e finanza 	 Informazione d'impresa 	 Fusioni, Acquisizioni, Cambi gestione
Economia, affari e finanza 	 Informazione d'impresa 	 Commenti analisti
Economia, affari e finanza 	 Informazione d'impresa 	 Fallimenti
Economia, affari e finanza 	 Informazione d'impresa 	 Consigli Amministrazione
Economia, affari e finanza 	 Informazione d'impresa 	 Riacquisto Azioni
Economia, affari e finanza 	 Informazione d'impresa 	 Interviste Dirigenti
Economia, affari e finanza 	 Informazione d'impresa 	 Funzionari aziendali
Economia, affari e finanza 	 Informazione d'impresa 	 Profili aziendali
Economia, affari e finanza 	 Informazione d'impresa 	 Contratti
Economia, affari e finanza 	 Informazione d'impresa 	 Contratti militari
Economia, affari e finanza 	 Informazione d'impresa 	 Comunicazioni dividendi
Economia, affari e finanza 	 Informazione d'impresa 	 Previsioni profitti
Economia, affari e finanza 	 Informazione d'impresa 	 Aziende depresse
Economia, affari e finanza 	 Informazione d'impresa 	 Profitti
Economia, affari e finanza 	 Informazione d'impresa 	 Finanziamenti, Offerte azionarie
Economia, affari e finanza 	 Informazione d'impresa 	 Contratti pubblici
Economia, affari e finanza 	 Informazione d'impresa 	 Espansione globale
Economia, affari e finanza 	 Informazione d'impresa 	 Insider Trading
Economia, affari e finanza 	 Informazione d'impresa 	 Joint Venture
Economia, affari e finanza 	 Informazione d'impresa 	 Leveraged buy out
Economia, affari e finanza 	 Informazione d'impresa 	 Licenziamenti, Ridimensionamenti
Economia, affari e finanza 	 Informazione d'impresa 	 Accordi di licenza
Economia, affari e finanza 	 Informazione d'impresa 	 Contenziosi, Regolamenti
Economia, affari e finanza 	 Informazione d'impresa 	 Cambi Management
Economia, affari e finanza 	 Informazione d'impresa 	 Marketing
Economia, affari e finanza 	 Informazione d'impresa 	 Nuovi prodotti
Economia, affari e finanza 	 Informazione d'impresa 	 Brevetti, Copyright
Economia, affari e finanza 	 Informazione d'impresa 	 Chiusure Stabilimenti
Economia, affari e finanza 	 Informazione d'impresa 	 Aperture Stabilimenti
Economia, affari e finanza 	 Informazione d'impresa 	 Privatizzazioni
Economia, affari e finanza 	 Informazione d'impresa 	 Deleghe
Economia, affari e finanza 	 Informazione d'impresa 	 Rating
Economia, affari e finanza 	 Informazione d'impresa 	 Ricerche, Sviluppo
Economia, affari e finanza 	 Informazione d'impresa 	 Comunicazioni finanziarie trimestrali, semestrali
Economia, affari e finanza 	 Informazione d'impresa 	 Ricapitalizzazioni
Economia, affari e finanza 	 Informazione d'impresa 	 Spin/Off
Economia, affari e finanza 	 Informazione d'impresa 	 Attivita'  Titoli
Economia, affari e finanza 	 Informazione d'impresa 	 Produzione industriale
Economia, affari e finanza 	 Informazione d'impresa 	 Produttivita' 
Economia, affari e finanza 	 Informazione d'impresa 	 Inventari
Economia, affari e finanza 	 Informazione d'impresa 	 Vendite
Economia, affari e finanza 	 Informazione d'impresa 	 Societa' 
Economia, affari e finanza 	 Informazione d'impresa 	 Azionisti
Economia, affari e finanza 	 Informazione d'impresa 	 Risultati aziendali
Economia, affari e finanza 	 Informazione d'impresa 	 Perdite
Economia, affari e finanza 	 Informazione d'impresa 	 Affidabilita'  creditizia
Economia, affari e finanza 	 Informazione d'impresa 	 Frazionamenti azionari
Economia, affari e finanza 	 Informazione d'impresa 	 Stock Options
Economia, affari e finanza 	 Informazione d'impresa 	 Richiamo Prodotti
Economia, affari e finanza 	 Informazione d'impresa 	 Globalizzazione
Economia, affari e finanza 	 Informazione d'impresa 	 Consumatori
Economia, affari e finanza 	 Informazione d'impresa 	 Acquisti
Economia, affari e finanza 	 Informazione d'impresa 	 Nuovi Servizi
Economia, affari e finanza 	 Economia (generico) 	 Politica economica
Economia, affari e finanza 	 Economia (generico) 	 Politica economica
Economia, affari e finanza 	 Affari (generico) 	 Istituzioni
Economia, affari e finanza 	 Affari (generico) 	 Istituzioni
Economia, affari e finanza 	 Finanza (generico) 	 Politica monetaria
Economia, affari e finanza 	 Finanza (generico) 	 Politica monetaria
Istruzione 	 Adulti	
Istruzione 	 Post	Scolare
Istruzione 	 Comitati genitori	
Istruzione 	 Scuola Infanzia	
Istruzione 	 Scuola 	 Secondarie di 1.grado, Medie
Istruzione 	 Scuola 	 Medie superiori
Istruzione 	 Scuola 	 Primarie, Elementari
Istruzione 	 Scuola 	 Medie superiori
Istruzione 	 Sindacati Scuola	
Istruzione 	 Universita' 	
Istruzione 	 Educazione	
Istruzione 	 Esame Ammissione	
Istruzione 	 Insegnamento, Apprendimento 	 Esami, Test
Istruzione 	 Insegnamento, Apprendimento 	 Studente
Istruzione 	 Insegnamento, Apprendimento 	 Insegnante
Istruzione 	 Insegnamento, Apprendimento 	 Curriculum
Istruzione 	 Insegnamento, Apprendimento 	 Esami, Test
Istruzione 	 Istruzione religiosa 	 Scuole coraniche
Istruzione 	 Istruzione religiosa 	 Scuole Cattoliche
Istruzione 	 Istruzione religiosa 	 Seminari
Istruzione 	 Istruzione religiosa 	 Scuole Talmudiche
Istruzione 	 Istruzione religiosa 	 Scuole coraniche
Ambiente 	 Energia rinnovabile	
Ambiente 	 Conservazione 	 Ecosistema
Ambiente 	 Conservazione 	 Specie a rischio
Ambiente 	 Conservazione 	 Ecosistema
Ambiente 	 Risparmio energetico	
Ambiente 	 Politica ambientale	
Ambiente 	 Inquinamento 	 Acqua
Ambiente 	 Inquinamento 	 Aria
Ambiente 	 Inquinamento 	 Acqua
Ambiente 	 Risorse naturali 	 Risorse Energetiche
Ambiente 	 Risorse naturali 	 Risorse Terra
Ambiente 	 Risorse naturali 	 Parchi
Ambiente 	 Risorse naturali 	 Foreste
Ambiente 	 Risorse naturali 	 Zone Umide
Ambiente 	 Risorse naturali 	 Montagne
Ambiente 	 Risorse naturali 	 Corsi d'acqua
Ambiente 	 Risorse naturali 	 Mari, Oceani, Laghi
Ambiente 	 Risorse naturali 	 Fauna Selvatica
Ambiente 	 Risorse naturali 	 Risorse Energetiche
Ambiente 	 Natura 	 Specie invasive
Ambiente 	 Natura 	 Specie invasive
Ambiente 	 Popolazione	
Ambiente 	 Rifiuti	
Ambiente 	 Acqua	
Ambiente 	 Effetto serra	
Ambiente 	 Materie pericolose	
Ambiente 	 Disinquinamento	
Salute 	 Malattia 	 Retrovirus
Salute 	 Malattia 	 Contagiosa
Salute 	 Malattia 	 Virale
Salute 	 Malattia 	 AIDS
Salute 	 Malattia 	 Cancro
Salute 	 Malattia 	 Cardiache
Salute 	 Malattia 	 Alzheimer
Salute 	 Malattia 	 Malattie degli Animali
Salute 	 Malattia 	 Malattie delle Piante
Salute 	 Malattia 	 Retrovirus
Salute 	 Epidemia	
Salute 	 Cura 	 Terapia
Salute 	 Cura 	 Farmaci su ricetta medica
Salute 	 Cura 	 Integratori
Salute 	 Cura 	 Dieta
Salute 	 Cura 	 Esame medico
Salute 	 Cura 	 Terapia
Salute 	 Organizzazioni Sanitarie	
Salute 	 Ricerca medica	
Salute 	 Personale medico 	 Sindacati Sanita' 
Salute 	 Personale medico 	 Medicina di Base
Salute 	 Personale medico 	 Sindacati Sanita' 
Salute 	 Medicina 	 Cinese
Salute 	 Medicina 	 Fitoterapia
Salute 	 Medicina 	 Olistica
Salute 	 Medicina 	 Occidentale
Salute 	 Medicina 	 Cinese
Salute 	 Medicina preventiva 	 Vaccino
Salute 	 Medicina preventiva 	 Vaccino
Salute 	 Ferite, Lesioni	
Salute 	 Ospedali, Cliniche	
Salute 	 Servizio Sanitario Nazionale 	 Medicaid
Salute 	 Servizio Sanitario Nazionale 	 Medicare
Salute 	 Servizio Sanitario Nazionale 	 Medicaid
Salute 	 Sistema sanitario privato	
Salute 	 Politica Salute 	 Sicurezza alimentare
Salute 	 Politica Salute 	 Sicurezza alimentare
Salute 	 Specializzazioni mediche 	 Ginecologia, Ostetricia
Salute 	 Specializzazioni mediche 	 Geriatria
Salute 	 Specializzazioni mediche 	 Pediatria
Salute 	 Specializzazioni mediche 	 Riproduzione
Salute 	 Specializzazioni mediche 	 Genetica
Salute 	 Specializzazioni mediche 	 Ginecologia, Ostetricia
Salute 	 Servizio Medico	
Salute 	 Forma fisica	
Salute 	 Malesseri 	 Obesita' 
Salute 	 Malesseri 	 Malattia mentale
Salute 	 Malesseri 	 Disturbo alimentare
Salute 	 Malesseri 	 Obesita' 
Salute 	 Condizioni mediche	
Salute 	 Paziente	
Storie, Curiosita'  	 Animali	
Storie, Curiosita'  	 Curiosita' 	
Storie, Curiosita'  	 Persone 	 Predizioni futuro
Storie, Curiosita'  	 Persone 	 Consigli, Suggerimenti
Storie, Curiosita'  	 Persone 	 Celebrita' 
Storie, Curiosita'  	 Persone 	 Iniziative, Realizzazioni
Storie, Curiosita'  	 Persone 	 Errori, Disavventure
Storie, Curiosita'  	 Persone 	 Predizioni futuro
Storie, Curiosita'  	 Mistero	
Storie, Curiosita'  	 Societa'  	 Commemorazioni
Storie, Curiosita'  	 Societa'  	 Cerimonie
Storie, Curiosita'  	 Societa'  	 Morte
